text,sentiment,clean_text
This device is great in several situations:1.),positive,device great several situations
Mic Doesn't work.,negative,mic doesnt work
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",negative,even bmw series fairly quiet trouble hearing person saying
Great choice!,positive,great choice
Nice docking station for home or work.,positive,nice docking station home work
This is a beautiful phone.,positive,beautiful phone
Love this product.,positive,love product
Do Not Buy for D807...wrongly advertised for D807.,negative,buy dwrongly advertised
This is a great little item.,positive,great little item
"I love this phone , It is very handy and has a lot of features .",positive,love phone handy lot features
I purchased this and within 2 days it was no longer working!!!!!!!!!,negative,purchased within days longer working
I wear it everyday and it holds up very well.,positive,wear everyday holds well
Not a good bargain.,negative,good bargain
"Well packaged, arrived on time, and works as intended.",positive,well packaged arrived time works intended
The battery runs down quickly.,negative,battery runs quickly
"This item worked great, but it broke after 6 months of use.",negative,item worked great broke months use
The headsets are easy to use and everyone loves them.,positive,headsets easy use everyone loves
This phone works great.,positive,phone works great
The construction of the headsets is poor.,negative,construction headsets poor
Product was excellent and works better than the verizon one and Boy was it cheaper!,positive,product excellent works better verizon one boy cheaper
The phone loads super!,positive,phone loads super
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",negative,product costs much one expect work far better greater ease thing
Made very sturdy.,positive,made sturdy
Worked great!.,positive,worked great
The ear buds only play music in one ear.,negative,ear buds play music one ear
Dont waste your money...,negative,dont waste money
Will order from them again!,positive,order
If you plan to use this in a car forget about it.,negative,plan use car forget
I found this product to be waaay too big.,negative,found product waaay big
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,positive,best ive found far ive tried bluetooths one best quality listener well ease using
I'm very disappointed with my decision.,negative,im disappointed decision
Integrated seamlessly with the Motorola RAZR phone.,positive,integrated seamlessly motorola razr phone
"Buyer Beware, you could flush money right down the toilet.",negative,buyer beware could flush money right toilet
Definitely a bargain.,positive,definitely bargain
The price was very good and with the free shipping and all it was a good purchase.,positive,price good free shipping good purchase
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,negative,received supposedly new motorola apparently match phone charger
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",positive,prosgood camera nice pictures also cool styles like black white
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",negative,thats huge design flaw unless im using correctly dont think case
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",positive,love headset jabra bluetooth headset great reception good ear piece comfortable fit
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",negative,camera although rated impressive megapixels renders images fall well expectations relatively high resolution
I purcashed this for the car charger and it does not work.,negative,purcashed car charger work
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",positive,sound quality end excellent use headset call wife ask wife use headset call
This phone is slim and light and the display is beautiful.,positive,phone slim light display beautiful
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,positive,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case
"Great product, fast shipping!.",positive,great product fast shipping
Absolutely great.,positive,absolutely great
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,positive,keyboard nice compromise full qwerty basic cell phone number keypad
i got this phone around the end of may and i'm completely unhappy with it.,negative,got phone around end may im completely unhappy
It is very comfortable on the ear.,positive,comfortable ear
It has been a winner for us.,positive,winner us
)Setup couldn't have been simpler.,positive,setup couldnt simpler
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,positive,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably
Could not get strong enough signal.,negative,could get strong enough signal
Iam very pleased with my purchase.,positive,iam pleased purchase
Bad Quality.,negative,bad quality
Gets the job done.,positive,gets job done
Great audio!.,positive,great audio
Basically the service was very bad.,negative,basically service bad
it did not work in my cell phone plug i am very up set with the charger!.,negative,work cell phone plug set charger
"I've only had my bluetooth for a few weeks, but I really like it.",positive,ive bluetooth weeks really like
The BT headset was such a disapoinment.,negative,bt headset disapoinment
It is so small and you don't even realize that it is there after a while of getting used to it.,positive,small dont even realize getting used
The accompanied software is almost brilliant.,positive,accompanied software almost brilliant
Headset works great & was packaged nicely to avoid any damage.,positive,headset works great packaged nicely avoid damage
!I definitly recommend!!,positive,definitly recommend
Buyer--Be Very Careful!!!!!.,negative,buyerbe careful
The majority of the Logitech earbud headsets failed.,negative,majority logitech earbud headsets failed
Very good stuff for the price.,positive,good stuff price
My headset works just peachy-keen.,positive,headset works peachykeen
In my house I was getting dropped coverage upstairs and no coverage in my basement.,negative,house getting dropped coverage upstairs coverage basement
Voice recognition is tremendous!,positive,voice recognition tremendous
What a waste.,negative,waste
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",negative,several different minute calls experienced drops area bars
I was not happy with this item.,negative,happy item
very disappointed.,negative,disappointed
The phone takes FOREVER to charge like 2 to 5 hours literally.,negative,phone takes forever charge like hours literally
I got this phone on reccomendation from a relative and I'm glad I did.,positive,got phone reccomendation relative im glad
What a waste of time!,negative,waste time
Its reception is very very poor.,negative,reception poor
Items stated as included from the description ARE NOT INCLUDED.,negative,items stated included description included
"After 3 months, screen just went black all of a sudden.",negative,months screen went black sudden
I Was Hoping for More.,negative,hoping
"Audio Quality is poor, very poor.",negative,audio quality poor poor
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,positive,absolutely problem headset linking blackberry curve
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",positive,know sounds funny seemed like sketchy technology wouldnt work wellwell one works great
I've bought $5 wired headphones that sound better than these.,negative,ive bought wired headphones sound better
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,positive,phone fast sending kind messages web browsing significantly faster previous phones used
"Nice quality build, unlike some cheap s*** out there.",positive,nice quality build unlike cheap
This item is fantastic and works perfectly!,positive,item fantastic works perfectly
And I just love the colors!,positive,love colors
W810i is just SUPERB.,positive,wi superb
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",negative,whine internet goesthe use thing less like
Great charger.,positive,great charger
This is essentially a communications tool that does not communicate.,negative,essentially communications tool communicate
Works like a charm; it work the same as the one I got with the phone.,positive,works like charm work one got phone
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",negative,still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans
Great Value.,positive,great value
Doesn't work at all.. I bougth it for my L7c and its not working.,negative,doesnt work bougth lc working
"The look of it is very sharp and the screen is nice and clear, with great graphics.",positive,look sharp screen nice clear great graphics
doesn't last long.,negative,doesnt last long
One thing I hate is the mode set button at the side.,negative,one thing hate mode set button side
EXCELLENT SERVICE!!!!!!!!.,positive,excellent service
Thank you for wasting my money.,negative,thank wasting money
How can that be?The audio quality is poor.,negative,bethe audio quality poor
The iGo chargers and tips are really great.,positive,igo chargers tips really great
The file browser offers all the options that one needs.Handsfree is great.,positive,file browser offers options one needshandsfree great
Superb Phone on a Great Network.,positive,superb phone great network
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",positive,connected wifes bluetoothmotorola hs phone worked like charm whether phone pocket case
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",negative,put latest os vg likes slow crawl lock every
It only recognizes the Phone as its storage device.,negative,recognizes phone storage device
"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative,like loud buzzing override conversations phone
Don't buy this product.,negative,dont buy product
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,negative,ive bluetoooth headset time still comfortable way fits ear
The sound quality is good and functionality is awesome.,positive,sound quality good functionality awesome
"I have this phone and it is a thorn in my side, I really abhor it.",negative,phone thorn side really abhor
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,negative,recently problems could stay connected minutes disconnected
Incredible!.,positive,incredible
Design Flaw?.,negative,design flaw
Great phone!.,positive,great phone
Waste of 13 bucks.,negative,waste bucks
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",negative,check voice mail night keypad backlight turns seconds first message im lost
The replacement died in a few weeks.,negative,replacement died weeks
Any ring tone..Overall good phone to buy..,positive,ring toneoverall good phone buy
Lately they have been extremely nice and helpful on the phone.,positive,lately extremely nice helpful phone
I have had problems wit hit dropping signal and more.,negative,problems wit hit dropping signal
Not impressed.,negative,impressed
"Light weight, I hardly notice it is there.",positive,light weight hardly notice
You'll love how thin it is.,positive,youll love thin
Bad Choice.,negative,bad choice
The pleather case doesn't fit.,negative,pleather case doesnt fit
"useless phone, simply deaf.",negative,useless phone simply deaf
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",positive,color even prettier thought would graphics incredibly sharp
All in all I think it was a good investment.,positive,think good investment
It makes very strange ticking noises before it ends the call.,negative,makes strange ticking noises ends call
The best electronics of the available FM Transmitters.,positive,best electronics available fm transmitters
Battery lasts only a few hours.,negative,battery lasts hours
"great headset, very impressed - H500.",positive,great headset impressed h
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",positive,mega pixel camera part phone reasonably good
I've had this for nearly 2 years and it has worked great for me.,positive,ive nearly years worked great
Good transmit audio.,positive,good transmit audio
We are sending it back.,negative,sending back
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,negative,bother contacting company dollar product learned lesson bought form online anyway
"If you hate earbugs, avoid this phone by all means.",negative,hate earbugs avoid phone means
Great price also!,positive,great price also
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",positive,range decent ive able roam around house phone living room receptionsound quality issues
fast service.,positive,fast service
I would highly recommend this.,positive,would highly recommend
I would recommend this.,positive,would recommend
"I also didn't like the ""on"" button, it felt like it would crack with use.",negative,also didnt like button felt like would crack use
WORST PHONE EVER.,negative,worst phone ever
I'm still infatuated with this phone.,positive,im still infatuated phone
Freezes frequently4.,negative,freezes frequently
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,negative,kind embarrassing use looks mostly embarrassing childlike company
"Simple, lightweight and great fit.",positive,simple lightweight great fit
"All in all, I'd expected a better consumer experience from Motorola.",negative,id expected better consumer experience motorola
There's a horrible tick sound in the background on all my calls that I have never experienced before.,negative,theres horrible tick sound background calls never experienced
These are certainly very comfortable and functionality is decent.,positive,certainly comfortable functionality decent
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,positive,usually dont like headbands one lightweight doesnt mess hair
I'm a bit disappointed.,negative,im bit disappointed
"I have had this phone for over a year now, and I will tell you, its not that great.",negative,phone year tell great
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,negative,ordered sony ericsson wi think worked thats first used
The battery is completely useless to me.,negative,battery completely useless
What a big waste of time.,negative,big waste time
Don't waste your $$$ on this one.,negative,dont waste one
Great sound and service.,positive,great sound service
Really pleased with this product so far.,positive,really pleased product far
One of my favorite purchases ever.,positive,one favorite purchases ever
best bluetooth on the market.,positive,best bluetooth market
Authentic leather with nice shine and comfort .I recommend you this case !!,positive,authentic leather nice shine comfort recommend case
I was very excited to get this headset because I thought it was really cute.,positive,excited get headset thought really cute
Do not make the same mistake as me.,negative,make mistake
Big Disappointment with calendar sync.,negative,big disappointment calendar sync
the phone was unusable and was not new.,negative,phone unusable new
Worst Customer Service Ever.,negative,worst customer service ever
"No additional ear gels provided, and no instructions whatsoever.",negative,additional ear gels provided instructions whatsoever
It defeats the purpose of a bluetooth headset.,negative,defeats purpose bluetooth headset
Worth every penny.,positive,worth every penny
Excellent wallet type phone case.,positive,excellent wallet type phone case
Nice headphones for the price and they work great!,positive,nice headphones price work great
Internet is excrutiatingly slow.,negative,internet excrutiatingly slow
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",positive,comfortable wear well probably important aspect using case
"It's fits like a glove and is strong, secure, and durable.",positive,fits like glove strong secure durable
O my gosh the best phone I have ever had.,positive,gosh best phone ever
It's very attractive and appears to be of good quality.,positive,attractive appears good quality
I love all the features and form factor.,positive,love features form factor
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,negative,product strong rubberpetroleum smell unbearable caused return
poor quality and service.,negative,poor quality service
"The cable looks so thin and flimsy, it is scary.",negative,cable looks thin flimsy scary
Great Earpiece.,positive,great earpiece
Excellent hands free tool.,positive,excellent hands free tool
Great for using with your home stereo.,positive,great using home stereo
Good product - incredible value.,positive,good product incredible value
Only had this a month but it's worked flawlessly so far.,positive,month worked flawlessly far
Works great.,positive,works great
Absolutel junk.,negative,absolutel junk
THAT one didn't work either.,negative,one didnt work either
Battery life is real good.,positive,battery life real good
Returned 8 hours later.,negative,returned hours later
It's a great item.,positive,great item
Don't waste your money!.,negative,dont waste money
Love this headset!,positive,love headset
"Not only will it drain your player, but may also potentially fry it.",negative,drain player may also potentially fry
Worked perfectly!,positive,worked perfectly
Unreliable - I'm giving up.,negative,unreliable im giving
I gave it 5 stars because of the sound quality.,positive,gave stars sound quality
Avoid this one if you can.,negative,avoid one
Reversible plug works great.,positive,reversible plug works great
I wasted my little money with this earpiece.,negative,wasted little money earpiece
Very good phone.,positive,good phone
"Best of all is the rotating feature, very helpful.",positive,best rotating feature helpful
Comfort for our whole family.,positive,comfort whole family
"Good product, good seller.",positive,good product good seller
I love this bluetooth!,positive,love bluetooth
"First of all, it doesn't wear well.",negative,first doesnt wear well
I am very impressed with this headset from Plantronics.,positive,impressed headset plantronics
I got it because it was so small and adorable.,positive,got small adorable
Great phone!.,positive,great phone
I wouldn't recommend buying this product.,negative,wouldnt recommend buying product
Piece of Junk.,negative,piece junk
Poorly contstruct hinge.,negative,poorly contstruct hinge
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",positive,item great installed let charged overnite working good every since problems
Great Phone.,positive,great phone
Don't buy it.,negative,dont buy
Excellent Phone.,positive,excellent phone
DO NOT PURCHASE THIS PHONE.,negative,purchase phone
The voice recognition thru the handset is excellent.,positive,voice recognition thru handset excellent
This is hands down the best phone I've ever had.,positive,hands best phone ive ever
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",positive,works great cat attacked phone scratched protective strip instead destroying screen
This one works and was priced right.,positive,one works priced right
Customer service was terrible.,negative,customer service terrible
Battery life still not long enough in Motorola Razor V3i.,negative,battery life still long enough motorola razor vi
Sending it back.,negative,sending back
Now I know that I made a wise decision.,positive,know made wise decision
Someone shouldve invented this sooner.,positive,someone shouldve invented sooner
Good price.,positive,good price
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,positive,everything worked first trythe device certainly engineered clever way construction feels good
I received it quickly and it works great!!,positive,received quickly works great
Has been working great.,positive,working great
"As many people complained, I found this headset's microphone was very weak.",negative,many people complained found headsets microphone weak
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,negative,year old nokia tracfone holds charge lot better
They do not care about the consumer one bit.,negative,care consumer one bit
"This is a good battery, and it got here really fast.",positive,good battery got really fast
The instruction manual is lacking.,negative,instruction manual lacking
Also its slim enough to fit into my alarm clock docking station without removing the case.,positive,also slim enough fit alarm clock docking station without removing case
Phone now holds charge like it did when it was new.,positive,phone holds charge like new
The battery is unreliable as well as the service use antena.,negative,battery unreliable well service use antena
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,negative,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg
We have gotten a lot of compliments on it.,positive,gotten lot compliments
This is definitely a must have if your state does not allow cell phone usage while driving.,positive,definitely must state allow cell phone usage driving
I want my money back.,negative,want money back
I love this device.,positive,love device
I am also very happy with the price.,positive,also happy price
I ordered this product first and was unhappy with it immediately.,negative,ordered product first unhappy immediately
The Ngage is still lacking in earbuds.,negative,ngage still lacking earbuds
I was able to do voice dialing in the car with no problem.,positive,able voice dialing car problem
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",negative,bars cell phone home cant hear anything
"good item, low price.",positive,good item low price
"However-the riingtones are not the best, and neither are the games.",negative,howeverthe riingtones best neither games
The plug did not work very well.,negative,plug work well
AMAZON SUCKS.,negative,amazon sucks
Rip off---- Over charge shipping.,negative,rip charge shipping
VERY comfortable.,positive,comfortable
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,positive,battery working well replacement original came phone years ago
The reception is excellent!,positive,reception excellent
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",positive,fits comfortably either ear sound clear loud charge lasts couple days
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",positive,clear quality sound dont mess sound ipod since sound buttons headset
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,negative,long lasting battery dont recharge frequentyly flip phones
Obviously there is a problem with the adhesive.,negative,obviously problem adhesive
Very disappointing.,negative,disappointing
"It was an inexpensive piece, but I would still have expected better quality.",negative,inexpensive piece would still expected better quality
It is practically useless and did not add any kind of boost to my reception after I bought it.,negative,practically useless add kind boost reception bought
Excellent sound quality.,positive,excellent sound quality
Was not happy.,negative,happy
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,negative,piece junk broke phone days
New Battery works great in phone.,positive,new battery works great phone
Worst customer service.,negative,worst customer service
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",positive,ive dropped phone times say even concrete phone still great knock wood
Reception is terrible and full of static.,negative,reception terrible full static
Good audio quality.,positive,good audio quality
This little device has transformed my organizational capability and made my life a whole lot easier.,positive,little device transformed organizational capability made life whole lot easier
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",negative,sitting vehicle cradle belt headset lost signal
Were JERKS on the phone.,negative,jerks phone
Works like a charm.. Works as advertised.,positive,works like charm works advertised
"Comfortable, Nice Range, Good Battery Life.",positive,comfortable nice range good battery life
Their network coverage in Los Angeles is horrible.,negative,network coverage los angeles horrible
Excellent starter wireless headset.,negative,excellent starter wireless headset
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",negative,loudspeaker option great bumpers lights appealing
The only thing that I think could improve is the sound leaks out from the headset.,negative,thing think could improve sound leaks headset
"First off the reception sucks, I have never had more than 2 bars, ever.",negative,first reception sucks never bars ever
The phone gets EXTREMELY HOT!,negative,phone gets extremely hot
"The microphone also works well, but (according to people I have called) it applifies everything.",positive,microphone also works well according people called applifies everything
Nice design and quality.,positive,nice design quality
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",negative,also phone dropped case going save specially dropped face
"It is light, easy to use, and has very clear reception and transmission.",positive,light easy use clear reception transmission
"bad fit, way too big.",negative,bad fit way big
It definitely was not as good as my S11.,positive,definitely good
awesome device.,positive,awesome device
Waste of money.,negative,waste money
"I had ordered a motorola data cable, got a very well finished and working product.",positive,ordered motorola data cable got well finished working product
Love This Phone.,positive,love phone
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,positive,looking headset long time ive got couldnt happier
"I'll be drivng along, and my headset starts ringing for no reason.",negative,ill drivng along headset starts ringing reason
Display is excellent and camera is as good as any from that year.,positive,display excellent camera good year
Battery life is also great!,positive,battery life also great
The worst phone I've ever had.... Only had it for a few months.,negative,worst phone ive ever months
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,negative,good item worked started problems auto reverse tape player
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,negative,embarassing also ears hurt try push ear plug ear
Protects the phone on all sides.,positive,protects phone sides
This is a VERY average phone with bad battery life that operates on a weak network.,negative,average phone bad battery life operates weak network
"Clear Skype Calls, Long Battery Life, Long Range.",positive,clear skype calls long battery life long range
Soyo technology sucks.,negative,soyo technology sucks
Great Hands Free Device.,positive,great hands free device
"you can even take self portraits with the outside (exterior) display, very cool.",positive,even take self portraits outside exterior display cool
Same problem as others have mentioned.,negative,problem others mentioned
After trying many many handsfree gadgets this is the one that finally works well.,positive,trying many many handsfree gadgets one finally works well
Magical Help.,positive,magical help
The worst piece of crap ever along with the Verizon customer service.,negative,worst piece crap ever along verizon customer service
Poor sound quality.,negative,poor sound quality
The best phone in market :).,positive,best phone market
It worked very well.,positive,worked well
The company shipped my product very promptly and it works well.,positive,company shipped product promptly works well
Exactly what I wanted.,positive,exactly wanted
The picture resolution is far below what other comparably-priced phones are offering today.,negative,picture resolution far comparablypriced phones offering today
This is a great deal.,positive,great deal
"Excellent product, I am very satisfied with the purchase.",positive,excellent product satisfied purchase
I highly recommend these and encourage people to give them a try.,positive,highly recommend encourage people give try
Better than you'd expect.,positive,better youd expect
"Using all earpieces, left or right, this thing will not stay on my ear.",negative,using earpieces left right thing stay ear
Great product and price.,positive,great product price
"Sounds good reasonably priced and effective, Its that simple !",positive,sounds good reasonably priced effective simple
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,negative,still waiting im sure item would work well ever recieve
what a disappointment,negative,disappointment
Very prompt service.,positive,prompt service
Excellent product for the price.,positive,excellent product price
Very pleased with this headset.,positive,pleased headset
don't waste your money and time.,negative,dont waste money time
I especially love the long battery life.,positive,especially love long battery life
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",negative,stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes
Works great.,positive,works great
Plantronics Bluetooth Excelent Buy.,positive,plantronics bluetooth excelent buy
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,negative,came verizon cingulair nicer cell phones first thing noticed really bad service
I'll be looking for a new earpiece.,negative,ill looking new earpiece
I highly recommend this device to everyone!,positive,highly recommend device everyone
Jawbone Era is awesome too!,positive,jawbone era awesome
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,negative,received white colored battery goes dead couple hoursthe original used last week still lasts longer thereplacement
After a year the battery went completely dead on my headset.,negative,year battery went completely dead headset
"I have used several phone in two years, but this one is the best.",positive,used several phone two years one best
An Awesome New Look For Fall 2000!.,positive,awesome new look fall
This is the first phone I've had that has been so cheaply made.,negative,first phone ive cheaply made
"Att is not clear, sound is very distorted and you have to yell when you talk.",negative,att clear sound distorted yell talk
The plastic breaks really easy on this clip.,negative,plastic breaks really easy clip
Price is good too.,positive,price good
Don't make the same mistake I did.,negative,dont make mistake
Oh and I forgot to also mention the weird color effect it has on your phone.,negative,oh forgot also mention weird color effect phone
I'm using it with an iriver SPINN (with case) and it fits fine.,positive,im using iriver spinn case fits fine
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,negative,also area unit broke im fond magnetic strap
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",positive,overall psyched phone appointments contacts gets great reception
"every thing on phone work perfectly, she like it.",positive,every thing phone work perfectly like
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",negative,another note phones appearance really looks rather bland especially black model
IT'S REALLY EASY.,positive,really easy
